ENSG00000223972.5_DDX11L1
ENSG00000227232.5_WASH7P
ENSG00000278267.1_MIR6859-1
ENSG00000243485.5_MIR1302-2HG
ENSG00000284332.1_MIR1302-2
ENSG00000237613.2_FAM138A
ENSG00000268020.3_OR4G4P
ENSG00000240361.2_OR4G11P
ENSG00000186092.7_OR4F5
ENSG00000238009.6_ENSG00000238009
ENSG00000239945.1_ENSG00000239945
ENSG00000233750.3_CICP27
ENSG00000268903.1_ENSG00000268903
ENSG00000269981.1_ENSG00000269981
ENSG00000239906.1_ENSG00000239906
ENSG00000241860.7_ENSG00000241860
ENSG00000222623.1_RNU6-1100P
ENSG00000241599.1_ENSG00000241599
ENSG00000279928.2_DDX11L17
ENSG00000279457.4_WASH9P
ENSG00000273874.1_MIR6859-2
ENSG00000228463.10_ENSG00000228463
ENSG00000286448.1_ENSG00000286448
ENSG00000236679.2_RPL23AP24
ENSG00000236601.2_ENSG00000236601
ENSG00000237094.12_ENSG00000237094
ENSG00000269732.1_WBP1LP7
ENSG00000284733.2_OR4F29
ENSG00000233653.3_CICP7
ENSG00000250575.1_ENSG00000250575
ENSG00000278757.1_U6
ENSG00000230021.10_ENSG00000230021
ENSG00000235146.2_ENSG00000235146
ENSG00000225972.1_MTND1P23
ENSG00000225630.1_MTND2P28
ENSG00000237973.1_MTCO1P12
ENSG00000278791.1_ENSG00000278791
ENSG00000229344.1_MTCO2P12
ENSG00000240409.1_MTATP8P1
ENSG00000248527.1_MTATP6P1
ENSG00000198744.5_MTCO3P12
ENSG00000268663.1_WBP1LP6
ENSG00000284662.2_OR4F16
ENSG00000229376.3_CICP3
ENSG00000228327.4_ENSG00000228327
ENSG00000223181.1_RNU6-1199P
ENSG00000229905.1_ENSG00000229905
ENSG00000237491.10_LINC01409
ENSG00000285268.1_ENSG00000285268
ENSG00000230092.7_ENSG00000230092
ENSG00000177757.2_FAM87B
ENSG00000228794.11_LINC01128
ENSG00000225880.5_LINC00115
ENSG00000288531.1_ENSG00000288531
ENSG00000230368.2_FAM41C
ENSG00000234711.1_TUBB8P11
ENSG00000283040.1_ENSG00000283040
ENSG00000272438.1_ENSG00000272438
ENSG00000230699.2_ENSG00000230699
ENSG00000241180.1_ENSG00000241180
ENSG00000223764.2_LINC02593
ENSG00000187634.13_SAMD11
ENSG00000188976.11_NOC2L
ENSG00000187961.15_KLHL17
ENSG00000187583.11_PLEKHN1
ENSG00000187642.9_PERM1
ENSG00000272512.1_ENSG00000272512
ENSG00000188290.11_HES4
ENSG00000187608.10_ISG15
ENSG00000231702.2_ENSG00000231702
ENSG00000224969.1_ENSG00000224969
ENSG00000188157.15_AGRN
ENSG00000242590.1_ENSG00000242590
ENSG00000217801.11_ENSG00000217801
ENSG00000273443.1_ENSG00000273443
ENSG00000237330.3_RNF223
ENSG00000131591.18_C1orf159
ENSG00000285812.1_ENSG00000285812
ENSG00000223823.1_LINC01342
ENSG00000207730.3_MIR200B
ENSG00000207607.3_MIR200A
ENSG00000198976.1_MIR429
ENSG00000272141.1_ENSG00000272141
ENSG00000205231.1_TTLL10-AS1
ENSG00000162571.14_TTLL10
ENSG00000186891.14_TNFRSF18
ENSG00000186827.11_TNFRSF4
ENSG00000078808.19_SDF4
ENSG00000176022.7_B3GALT6
ENSG00000184163.3_C1QTNF12
ENSG00000260179.1_ENSG00000260179
ENSG00000160087.21_UBE2J2
ENSG00000230415.1_LINC01786
ENSG00000162572.21_SCNN1D
ENSG00000131584.19_ACAP3
ENSG00000278073.1_MIR6726
ENSG00000169972.12_PUSL1
ENSG00000127054.22_INTS11
ENSG00000283712.1_MIR6727
ENSG00000240731.1_ENSG00000240731
ENSG00000224051.7_CPTP
ENSG00000169962.5_TAS1R3
ENSG00000107404.21_DVL1
ENSG00000284372.1_MIR6808
ENSG00000162576.17_MXRA8
ENSG00000175756.14_AURKAIP1
ENSG00000223663.2_NDUFB4P8
ENSG00000221978.13_CCNL2
ENSG00000224870.8_MRPL20-AS1
ENSG00000242485.6_MRPL20
ENSG00000264293.2_RN7SL657P
ENSG00000272455.1_MRPL20-DT
ENSG00000235098.9_ANKRD65
ENSG00000225905.1_ENSG00000225905
ENSG00000205116.4_TMEM88B
ENSG00000225285.1_LINC01770
ENSG00000179403.12_VWA1
ENSG00000215915.10_ATAD3C
ENSG00000160072.20_ATAD3B
ENSG00000284740.2_ENSG00000284740
ENSG00000197785.14_ATAD3A
ENSG00000205090.9_TMEM240
ENSG00000160075.12_SSU72
ENSG00000215014.5_ENSG00000215014
ENSG00000274481.1_ENSG00000274481
ENSG00000228594.4_FNDC10
ENSG00000286989.1_ENSG00000286989
ENSG00000272106.1_ENSG00000272106
ENSG00000197530.13_MIB2
ENSG00000189409.14_MMP23B
ENSG00000248333.9_CDK11B
ENSG00000272004.1_ENSG00000272004
ENSG00000189339.12_SLC35E2B
ENSG00000269737.2_ENSG00000269737
ENSG00000215914.4_MMP23A
ENSG00000008128.23_CDK11A
ENSG00000268575.1_ENSG00000268575
ENSG00000227775.3_ENSG00000227775
ENSG00000215790.8_SLC35E2A
ENSG00000008130.15_NADK
ENSG00000078369.18_GNB1
ENSG00000231050.2_ENSG00000231050
ENSG00000169885.10_CALML6
ENSG00000178821.13_TMEM52
ENSG00000142609.20_CFAP74
ENSG00000233542.2_ENSG00000233542
ENSG00000187730.9_GABRD
ENSG00000226969.1_ENSG00000226969
ENSG00000067606.17_PRKCZ
ENSG00000271806.1_ENSG00000271806
ENSG00000182873.5_PRKCZ-AS1
ENSG00000162585.17_FAAP20
ENSG00000234396.3_ENSG00000234396
ENSG00000157933.10_SKI
ENSG00000287356.1_ENSG00000287356
ENSG00000116151.14_MORN1
ENSG00000272161.1_ENSG00000272161
ENSG00000269896.2_ENSG00000269896
ENSG00000272420.1_ENSG00000272420
ENSG00000157916.20_RER1
ENSG00000157911.11_PEX10
ENSG00000149527.18_PLCH2
ENSG00000224387.1_ENSG00000224387
ENSG00000229393.1_ENSG00000229393
ENSG00000157881.16_PANK4
ENSG00000197921.6_HES5
ENSG00000272449.2_ENSG00000272449
ENSG00000238164.6_TNFRSF14-AS1
ENSG00000157873.18_TNFRSF14
ENSG00000225931.3_ENSG00000225931
ENSG00000228037.1_ENSG00000228037
ENSG00000289610.1_ENSG00000289610
ENSG00000157870.17_PRXL2B
ENSG00000142606.16_MMEL1
ENSG00000237058.1_MMEL1-AS1
ENSG00000215912.12_TTC34
ENSG00000285945.1_ENSG00000285945
ENSG00000283259.1_ENSG00000283259
ENSG00000233234.1_ENSG00000233234
ENSG00000287396.1_ENSG00000287396
ENSG00000231630.1_ENSG00000231630
ENSG00000284745.1_ENSG00000284745
ENSG00000169717.7_ACTRT2
ENSG00000177133.13_PRDM16-DT
ENSG00000142611.17_PRDM16
ENSG00000283572.1_MIR4251
ENSG00000226286.1_ENSG00000226286
ENSG00000279839.1_ENSG00000279839
ENSG00000272235.1_ENSG00000272235
ENSG00000287828.1_ENSG00000287828
ENSG00000286518.1_ENSG00000286518
ENSG00000130762.15_ARHGEF16
ENSG00000272088.1_ENSG00000272088
ENSG00000162591.16_MEGF6
ENSG00000207776.1_MIR551A
ENSG00000238260.2_ENSG00000238260
ENSG00000158109.15_TPRG1L
ENSG00000116213.16_WRAP73
ENSG00000078900.15_TP73
ENSG00000227589.1_TP73-AS3
ENSG00000235131.1_TP73-AS2
ENSG00000227372.12_TP73-AS1
ENSG00000276189.1_ENSG00000276189
ENSG00000162592.10_CCDC27
ENSG00000235169.11_SMIM1
ENSG00000130764.10_LRRC47
ENSG00000266075.2_RN7SL574P
ENSG00000272153.1_ENSG00000272153
ENSG00000116198.14_CEP104
ENSG00000169598.17_DFFB
ENSG00000198912.12_C1orf174
ENSG00000236423.7_LINC01134
